"filename", "language", "XML", "Java", "PowerShell", "Properties", "Batch", "HTML", "Java Properties", "PostCSS", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\resources\static\css\dashboard.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 901, 30, 146, 1077
"f:\Coding\studentmanagement\src\main\resources\templates\admin-dashboard.html", "HTML", 0, 0, 0, 0, 0, 117, 0, 0, 12, 14, 143
"f:\Coding\studentmanagement\src\main\resources\templates\attendance.html", "HTML", 0, 0, 0, 0, 0, 27, 0, 0, 5, 6, 38
"f:\Coding\studentmanagement\src\main\resources\templates\cafeteria.html", "HTML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 34
"f:\Coding\studentmanagement\src\main\resources\templates\fragments\sidebar.html", "HTML", 0, 0, 0, 0, 0, 43, 0, 0, 6, 6, 55
"f:\Coding\studentmanagement\src\main\resources\templates\login.html", "HTML", 0, 0, 0, 0, 0, 105, 0, 0, 2, 14, 121
"f:\Coding\studentmanagement\src\main\resources\templates\student-dashboard.html", "HTML", 0, 0, 0, 0, 0, 304, 0, 0, 0, 50, 354
"f:\Coding\studentmanagement\src\main\resources\templates\student-id-card.html", "HTML", 0, 0, 0, 0, 0, 522, 0, 0, 5, 79, 606
"f:\Coding\studentmanagement\src\main\resources\templates\student-profile.html", "HTML", 0, 0, 0, 0, 0, 144, 0, 0, 0, 28, 172
"f:\Coding\studentmanagement\src\main\resources\templates\teacher-dashboard.html", "HTML", 0, 0, 0, 0, 0, 34, 0, 0, 0, 6, 40
"f:\Coding\studentmanagement\src\main\resources\templates\teachers.html", "HTML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"f:\Coding\studentmanagement\src\test\java\com\sms\controller\DashboardControllerTest.java", "Java", 0, 111, 0, 0, 0, 0, 0, 0, 0, 20, 131
"f:\Coding\studentmanagement\src\test\java\com\sms\service\DashboardServiceTest.java", "Java", 0, 45, 0, 0, 0, 0, 0, 0, 0, 13, 58
"f:\Coding\studentmanagement\target\classes\application-postgres.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"f:\Coding\studentmanagement\target\classes\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 17, 0, 7, 8, 32
"f:\Coding\studentmanagement\target\classes\com\sms\StudentManagementApplication.class", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"f:\Coding\studentmanagement\target\classes\com\sms\config\DemoDataLoader.class", "Java", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 97
"f:\Coding\studentmanagement\target\classes\com\sms\config\JwtAuthenticationFilter.class", "Java", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 28
"f:\Coding\studentmanagement\target\classes\com\sms\config\SecurityConfig.class", "Java", 0, 25, 0, 0, 0, 0, 0, 0, 35, 0, 60
"f:\Coding\studentmanagement\target\classes\com\sms\config\WebSocketConfig.class", "Java", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminApiController.class", "Java", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminController.class", "Java", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"f:\Coding\studentmanagement\target\classes\com\sms\controller\ApiAuthController.class", "Java", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"f:\Coding\studentmanagement\target\classes\com\sms\controller\ApiExceptionHandler.class", "Java", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 34
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AuthController.class", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DashboardController.class", "Java", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DigitalIDApi.class", "Java", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 72
"f:\Coding\studentmanagement\target\classes\com\sms\controller\PortalController.class", "Java", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentController.class", "Java", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
