"filename", "language", "Java", "XML", "Docker", "pip requirements", "Markdown", "Python", "PowerShell", "Java Properties", "Batch", "Properties", "MS SQL", "HTML", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentAttendanceController.java", "Java", 489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 64, 596
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentController.java", "Java", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentProfileApiController.java", "Java", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentViewController.java", "Java", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 23
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\TeacherApiController.java", "Java", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 76
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\TeacherAttendanceController.java", "Java", 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 39, 302
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\TeacherController.java", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\TeacherFraudController.java", "Java", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\attendance\AttendanceQRResponse.java", "Java", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 84
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\attendance\FaceRegistrationRequest.java", "Java", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 36
